iteration,loss,q_mean,td_error,action_entropy,reward,avg_reward,eps
1,0.8620037287473679,0.0367522407323122,0.8268444985151291,0.1546129249036312,0.7052114009857178,0.7052114009857178,"tensor(0.9998, device='cuda:0')"
2,0.7990286946296692,0.03729411493986845,0.7588301748037338,0.09973920322954655,0.6176570653915405,0.6614342331886292,"tensor(0.9996, device='cuda:0')"
3,0.9154066443443298,0.04195480141788721,0.9547484964132309,0.5679192245006561,0.7525542974472046,0.6918075879414877,"tensor(0.9994, device='cuda:0')"
4,0.8669148832559586,0.06593948043882847,0.9134299904108047,0.9223881959915161,0.9225192666053772,0.74948550760746,"tensor(0.9992, device='cuda:0')"
5,0.8672856390476227,0.15329048223793507,0.8360036611557007,0.4218266159296036,0.8310518860816956,0.7657987833023071,"tensor(0.9990, device='cuda:0')"
6,0.807642012834549,0.3716423287987709,0.6353076696395874,0.34849732369184494,0.8115118741989136,0.7734176317850748,"tensor(0.9988, device='cuda:0')"
7,0.8177136778831482,0.5797259956598282,0.4512810781598091,0.3238900825381279,0.8968591690063477,0.7910521371023995,"tensor(0.9986, device='cuda:0')"
8,0.7385878711938858,0.5477072894573212,0.4180626943707466,0.3638209030032158,0.8054553270339966,0.7928525358438492,"tensor(0.9984, device='cuda:0')"
9,0.7284681051969528,0.5302641689777374,0.39748334884643555,0.5281257182359695,0.820556104183197,0.7959307101037767,"tensor(0.9982, device='cuda:0')"
10,0.7192030847072601,0.6044421941041946,0.24397072196006775,0.6222119033336639,0.776439905166626,0.7939816296100617,"tensor(0.9980, device='cuda:0')"
11,0.7244596928358078,0.5843808948993683,0.20629952102899551,0.48876088857650757,0.6714490652084351,0.7828423055735502,"tensor(0.9978, device='cuda:0')"
12,0.7451615631580353,0.4991350322961807,0.1767492974177003,0.49881915748119354,0.7109900712966919,0.776854619383812,"tensor(0.9976, device='cuda:0')"
13,0.6624583452939987,0.4682108163833618,0.23722822219133377,0.5059480741620064,0.7299075126647949,0.7732433034823492,"tensor(0.9974, device='cuda:0')"
14,0.7559177279472351,0.5819637924432755,0.04752392740920186,0.5933447629213333,0.5888356566429138,0.7600713287081037,"tensor(0.9972, device='cuda:0')"
15,0.7139648497104645,0.5597416907548904,-0.005822611972689629,0.7685554325580597,0.4453449845314026,0.739089572429657,"tensor(0.9970, device='cuda:0')"
16,0.6886420100927353,0.5033135041594505,0.0405135378241539,0.9088197350502014,0.5029730200767517,0.7243322879076004,"tensor(0.9968, device='cuda:0')"
17,0.6722777485847473,0.4788905456662178,0.07947728969156742,0.7486282587051392,0.5384923815727234,0.7134005287114311,"tensor(0.9966, device='cuda:0')"
18,0.6705586612224579,0.4964531287550926,0.13840493047609925,0.8934201151132584,0.4489421248435974,0.6987083951632181,"tensor(0.9964, device='cuda:0')"
19,0.6395455747842789,0.5854302793741226,-0.05007570888847113,0.9405295252799988,0.4639039933681488,0.6863502687529514,"tensor(0.9962, device='cuda:0')"
20,0.6528081297874451,0.5719548314809799,0.01015288196504116,0.9643566757440567,0.6751037836074829,0.6857879444956779,"tensor(0.9960, device='cuda:0')"
21,0.6280737072229385,0.5142276361584663,0.06125319376587868,0.8052226006984711,0.48712101578712463,0.6763276145571754,"tensor(0.9958, device='cuda:0')"
22,0.6699564456939697,0.560433492064476,-0.029296059161424637,0.6536425054073334,0.5687685012817383,0.6714385639537465,"tensor(0.9956, device='cuda:0')"
23,0.6459916681051254,0.5939861834049225,-0.025927558541297913,0.7535771131515503,0.4873170256614685,0.6634332796801692,"tensor(0.9954, device='cuda:0')"
24,0.6230205148458481,0.5194126069545746,-0.11493057943880558,0.7833260744810104,0.32009416818618774,0.6491274833679199,"tensor(0.9952, device='cuda:0')"
25,0.6245117783546448,0.4767857864499092,0.02753244014456868,0.6563578248023987,0.3803546726703644,0.6383765709400177,"tensor(0.9950, device='cuda:0')"
26,0.6875966489315033,0.5327082872390747,-0.054035224951803684,0.6944708526134491,0.5135142207145691,0.6335741728544235,"tensor(0.9948, device='cuda:0')"
27,0.6392582952976227,0.5356100127100945,-0.06609266763553023,0.7679585814476013,0.2981531620025635,0.6211511724525027,"tensor(0.9946, device='cuda:0')"
28,0.6392328143119812,0.44916195422410965,0.07181836105883121,0.7119875550270081,0.46004027128219604,0.6153972116964204,"tensor(0.9944, device='cuda:0')"
29,0.6488502025604248,0.4315362721681595,0.057531132362782955,0.7614384442567825,0.42696189880371094,0.608899442286327,"tensor(0.9942, device='cuda:0')"
30,0.6488271951675415,0.5024423748254776,0.08096734713762999,0.8321461975574493,0.5437844395637512,0.6067289421955745,"tensor(0.9940, device='cuda:0')"
31,0.6169556528329849,0.5820222049951553,-0.1049092123284936,0.9709369540214539,0.562361478805542,0.6052977336991218,"tensor(0.9938, device='cuda:0')"
32,0.6530998796224594,0.5455684289336205,-0.054696833714842796,1.0065140426158905,0.5146026015281677,0.6024635108187795,"tensor(0.9936, device='cuda:0')"
33,0.6258758902549744,0.4842066541314125,-0.01109588984400034,0.9777089357376099,0.3910684287548065,0.5960575992410834,"tensor(0.9934, device='cuda:0')"
34,0.6145987212657928,0.5190208554267883,-0.021674714516848326,1.0512624084949493,0.27491462230682373,0.5866122175665462,"tensor(0.9932, device='cuda:0')"
35,0.5687018483877182,0.5107377469539642,-0.14567513391375542,1.1780441999435425,0.2626226544380188,0.5773553729057312,"tensor(0.9930, device='cuda:0')"
36,0.6310970187187195,0.4885338023304939,-0.007644033059477806,1.502502053976059,0.29776206612586975,0.5695888921618462,"tensor(0.9928, device='cuda:0')"
37,0.617209404706955,0.4804701432585716,-0.08256593020632863,1.6560931205749512,0.32259711623191833,0.5629134387583346,"tensor(0.9926, device='cuda:0')"
38,0.5754938870668411,0.42399366199970245,-0.03340476285666227,2.0024362802505493,0.26386040449142456,0.5550436220671001,"tensor(0.9924, device='cuda:0')"
39,0.5750066787004471,0.42218905687332153,0.003431466640904546,2.253317177295685,0.34798920154571533,0.5497345343614236,"tensor(0.9922, device='cuda:0')"
40,0.6197116523981094,0.487935446202755,-0.03855525143444538,2.215659260749817,0.19268856942653656,0.5408083852380514,"tensor(0.9920, device='cuda:0')"
41,0.6037937700748444,0.39644651114940643,0.023236063309013844,2.2978128790855408,0.3361269533634186,0.5358161551923286,"tensor(0.9918, device='cuda:0')"
42,0.6079144328832626,0.3708762899041176,-0.023192463908344507,2.247730255126953,0.3037722110748291,0.5302912993800073,"tensor(0.9916, device='cuda:0')"
43,0.5973028689622879,0.5549432262778282,-0.09091253392398357,2.1374224424362183,0.16674761474132538,0.5218367950860844,"tensor(0.9914, device='cuda:0')"
44,0.6161303669214249,0.5458834767341614,-0.05090039875358343,1.9490142166614532,0.44397634267807007,0.5200672393495386,"tensor(0.9912, device='cuda:0')"
45,0.5680551677942276,0.46847736090421677,-0.0088579379953444,2.0741161704063416,0.3305678069591522,0.5158561408519745,"tensor(0.9910, device='cuda:0')"
46,0.5927528440952301,0.4544597715139389,-0.06422827392816544,2.0976110100746155,0.25802069902420044,0.5102510225513707,"tensor(0.9908, device='cuda:0')"
47,0.6358506828546524,0.47084712237119675,0.0043632471933960915,2.1866750717163086,0.3335045278072357,0.5064904588334104,"tensor(0.9906, device='cuda:0')"
48,0.5876314043998718,0.6012723743915558,-0.09569299593567848,2.108436703681946,0.3366994261741638,0.5029531456530094,"tensor(0.9904, device='cuda:0')"
49,0.6194682121276855,0.5878716558218002,-0.1842193678021431,2.161789119243622,0.21882610023021698,0.49715463452193204,"tensor(0.9902, device='cuda:0')"
50,0.5779515653848648,0.4223817139863968,0.051670223008841276,2.3679866194725037,0.33743488788604736,0.4939602395892143,"tensor(0.9900, device='cuda:0')"
51,0.6029043644666672,0.38965021818876266,0.036796264350414276,2.472873866558075,0.3433797061443329,0.4910076801099029,"tensor(0.9899, device='cuda:0')"
52,0.636877179145813,0.4765782505273819,-0.041955893859267235,2.5307019352912903,0.11876395344734192,0.4838491469048537,"tensor(0.9897, device='cuda:0')"
53,0.5599732547998428,0.5217932984232903,-0.13682380504906178,2.4433298110961914,0.258541464805603,0.47959805856335835,"tensor(0.9895, device='cuda:0')"
54,0.6142301559448242,0.4604918211698532,-0.0715968431904912,2.409908890724182,0.29740747809410095,0.4762241589250388,"tensor(0.9893, device='cuda:0')"
55,0.5894804000854492,0.45717738568782806,0.013296334072947502,2.4911267161369324,0.2492576539516449,0.47209749519824984,"tensor(0.9891, device='cuda:0')"
56,0.608241617679596,0.5480961054563522,-0.08492578938603401,2.5041797757148743,0.30837345123291016,0.4691738515560116,"tensor(0.9889, device='cuda:0')"
57,0.5638213455677032,0.5559891164302826,-0.1629074029624462,2.5962525606155396,0.06695069372653961,0.46211730492742437,"tensor(0.9887, device='cuda:0')"
58,0.5860203355550766,0.48485638946294785,-0.08890271559357643,2.7131972312927246,0.19314894080162048,0.45747991933904847,"tensor(0.9885, device='cuda:0')"
59,0.5698708146810532,0.4152224063873291,0.05935148522257805,2.6272040009498596,0.39614221453666687,0.45644029722375384,"tensor(0.9883, device='cuda:0')"
60,0.5644800513982773,0.5102145001292229,0.005617732182145119,2.62457674741745,0.30197587609291077,0.4538658902049065,"tensor(0.9881, device='cuda:0')"
61,0.5993362218141556,0.5204630717635155,-0.10162930749356747,2.689891278743744,0.26339730620384216,0.45074345440161034,"tensor(0.9879, device='cuda:0')"
62,0.5962829887866974,0.5235809460282326,-0.15210791677236557,2.7762818336486816,0.24188971519470215,0.4473748457047247,"tensor(0.9877, device='cuda:0')"
63,0.6030932068824768,0.4369211494922638,0.014700643252581358,2.808288276195526,0.22683948278427124,0.44387428438852705,"tensor(0.9875, device='cuda:0')"
64,0.5805017799139023,0.5093355402350426,-0.027359497733414173,2.9066359996795654,0.3205474317073822,0.44194730231538415,"tensor(0.9873, device='cuda:0')"
65,0.5894774496555328,0.5444198697805405,-0.15297481417655945,2.8666951656341553,0.19209519028663635,0.438103423668788,"tensor(0.9871, device='cuda:0')"
66,0.5823889672756195,0.520778238773346,-0.08563278010115027,2.75146621465683,0.2515603005886078,0.4352770127130277,"tensor(0.9869, device='cuda:0')"
67,0.6151721924543381,0.5406210720539093,0.01787826418876648,2.768092632293701,0.2534814178943634,0.432563645626182,"tensor(0.9867, device='cuda:0')"
68,0.6458492130041122,0.553622268140316,-0.10355222132056952,2.7370954155921936,0.19480879604816437,0.4290672507794464,"tensor(0.9865, device='cuda:0')"
69,0.5724940747022629,0.5467817038297653,-0.07390992622822523,2.6939231753349304,0.253865122795105,0.42652808950431104,"tensor(0.9863, device='cuda:0')"
70,0.6397837102413177,0.4894482269883156,-0.08055716520175338,2.7282686829566956,0.06093759834766388,0.42130536820207326,"tensor(0.9861, device='cuda:0')"
71,0.6129745841026306,0.5592547506093979,-0.052582879550755024,2.790478825569153,0.20997467637062073,0.4183288795847288,"tensor(0.9859, device='cuda:0')"
72,0.6209373027086258,0.5972695723176003,-0.10842878930270672,2.7645658254623413,0.13506096601486206,0.4143946030073696,"tensor(0.9857, device='cuda:0')"
73,0.5796086639165878,0.560220018029213,-0.033596718683838844,2.7827900648117065,0.2785434126853943,0.4125336277974795,"tensor(0.9855, device='cuda:0')"
74,0.6157111078500748,0.5160105377435684,-0.006545601412653923,2.7767196893692017,0.17050039768218994,0.4092629084715972,"tensor(0.9853, device='cuda:0')"
